halId_s,docType_s,doiId_s,title_s,authFullName_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,publicationDateY_i,conferenceStartDateY_i,keyword_s
tel-04088047,HDR,,Contribution à la dynamique d’une situation-système contrôlée par le produit circulant,Frédérique Mayer,,,,2023,,"Simplexity thinking,Systems engineering,Systems dynamics,Penser simplexe,Ingénierie système,Dynamique des systèmes"
hal-03936794,ART,10.1016/j.ohx.2022.e00389,Open source IoT-based collection bin applied to local plastic recycling,"Alex Gabriel,Fabio Cruz",HardwareX,Elsevier,,2023,,
hal-04003465,BLOG,,Do-It-Together et transition vers l’Industrie 5.0,"Laurent Dupont,Fedoua Kasmi,Joshua M Pearce,J. Roland Ortt",,,,2023,,
hal-03994739,PROCEEDINGS,10.1109/ICE/ITMC-IAMOT55089.2022,"Proceeding of the 2022 IEEE 28th International Conference on Engineering\, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference","Laurent Dupont,Mauricio Camargo,Laure Morel",,,,2023,,
hal-03944841,ART,10.3917/jie.040.0001,“Do-It-Together” and Innovation: Transforming European Industry,"Laurent Dupont,Fedoua Kasmi,Joshua M Pearce,Roland J Ortt",Journal of Innovation Economics & Management,De Boeck Supérieur,,2023,,"Do-It-Together and Alternative Innovations Focus Do-It-Together and Innovation Transforming European Industry 1,Do-It-Together and Alternative Innovations Focus,Do-It-Together and Innovation,Transforming European Industry 1"
hal-03650445,ART,10.3917/jie.pr1.0122,"Implementing Do-It-Together: The Cross-fertilization of Do-It-Yourself and Open Manufacturing,Mise en œuvre du Do-It-Together : le croisement du Do-It-Yourself et de la fabrication ouverte","Brunelle Marche,Fedoua Kasmi,Frédérique Mayer,Laurent Dupont",Journal of Innovation Economics & Management,De Boeck Supérieur,,2023,,
hal-03921451,UNDEFINED,,Contribution à la dynamique d'une situation-système contrôlée par le produit circulant,Frédérique Mayer,,,,2023,,
hal-04071326,ART,10.1016/j.compchemeng.2023.108213,"An ontology for the design of emulsion-based cosmetic products: Development and applications,Une ontologie pour la conception de produits cosmétiques à base d'émulsion : Développement et applications","Juliana Serna,Alex Gabriel,Vincent Boly,Paulo C Narváez-Rincón,Véronique Falk",Computers & Chemical Engineering,Elsevier,,2023,,"Ontology,Chemical product design,Knowledge engineering,Cosmetic products,Process systems engineering"
hal-03954509,ART,10.3390/pr11020328,Towards a Knowledge Base to Support the Management of the Design Process of Formulated Products,"Jose Luis Rivera-Gil,Juliana Serna-Rodas,Javier Andrés Arrieta-Escobar,Paulo César Narváez-Rincón,Vincent Boly,Véronique Falk",Processes,MDPI,,2023,,"Chemical product design,Knowledge base,Consumer products,Organizational context"
hal-03970304,ART,10.1007/s00170-022-10511-w,Analytical modeling of deposited filaments for high viscosity material-based piston-driven direct ink writing,"Yongqiang Tu,Alaa Hassan,Ali Siadat,Gongliu Yang",International Journal of Advanced Manufacturing Technology,Springer Verlag,,2022,,"Analytical modeling Deposited filaments High viscosity material Direct ink writing,Analytical modeling,Deposited filaments,High viscosity material,Direct ink writing"
hal-03970217,ART,10.1007/s00170-022-10195-2,Numerical simulation and experimental validation of deposited corners of any angle in direct ink writing,"Yongqiang Tu,Alaa Hassan,Ali Siadat,Gongliu Yang,Zhangwei Chen",International Journal of Advanced Manufacturing Technology,Springer Verlag,,2022,,"Numerical simulation,Experimental validation,Deposited corners,Direct ink writing,Volume of fluid method"
hal-03774814,ART,10.1016/j.eiar.2022.106911,Qualitative sustainability assessment of road verge management in France: An approach from causal diagrams to seize the importance of impact pathways,"Brunelle Marche,Mauricio Camargo,Sandra Cecilia Bautista Rodriguez,Clémence Chaudron,Frédérique Mayer,Christophe Bachmann",Environmental Impact Assessment Review,Elsevier,,2022,,"Road verge management,Sustainability assessment,Ecosystem services,Causal diagrams"
